Facies,Well Name,Depth,GR,ILD,ILD_log10,NPHI,RHOB,PORD,PORDIFF,BVW
1,AMMY220,1018,14.6338,99.438,1.9975523807412,0.2605,2.3345,0.2332298,0.0272702,0.015856006455816
1,AMMY220,1018.5,15.0829,112.938,2.0528400926212,0.2758,2.3226,0.2406212,0.0351788,0.014878185118747
1,AMMY220,1019,15.4989,97.375,1.98844747068062,0.2783,2.3261,0.2384471,0.0398529,0.016023089886141
1,AMMY220,1019.5,13.2929,120.625,2.08143732635185,0.2881,2.3238,0.2398757,0.0482243,0.014396315014974
1,AMMY220,1020,11.2752,123,2.0899051114394,0.2916,2.3198,0.2423603,0.0492397,0.014256648712805
1,AMMY220,1020.5,11.063,121,2.08278537031645,0.2896,2.3138,0.2460869,0.0435131,0.014373989364402
1,AMMY220,1021,13.068,141.875,2.1519058745372,0.2951,2.3177,0.2436647,0.0514354,0.013274466231999
1,AMMY220,1021.5,14.6133,122.688,2.08880208686195,0.2926,2.3197,0.2424224,0.0501776,0.014274764788074
1,AMMY220,1022,16.1719,135.375,2.13153846963338,0.2817,2.316,0.2447205,0.0369795,0.013589415249851
1,AMMY220,1022.5,15.9384,114.25,2.05785620874189,0.2639,2.3298,0.2361491,0.0277509,0.014792510968189
1,AMMY220,1023,15.5105,100.188,2.00081570710133,0.2723,2.3299,0.2360869,0.0362131,0.015796546519475
1,AMMY220,1023.5,15.0584,102.125,2.00913206954047,0.2817,2.3438,0.2274534,0.0542466,0.015646023188519
1,AMMY220,1024,13.7191,92.25,1.9649663748311,0.2738,2.3324,0.2345341,0.0392659,0.01646215994416
1,AMMY220,1024.5,15.4306,106.125,2.02581770325201,0.258,2.3368,0.2318012,0.0261988,0.015348330863851
1,AMMY220,1025,14.5662,95.938,1.98199066057539,0.2506,2.3349,0.2329814,0.0176186,0.016142644179958
1,AMMY220,1025.5,13.9409,106.375,2.02683957309264,0.2555,2.3309,0.2354659,0.0200341,0.015330284613208
1,AMMY220,1026,14.0925,101.25,2.00539503188671,0.259,2.3347,0.2331055,0.0258945,0.015713484026368
1,AMMY220,1026.5,13.3392,92.125,1.96437750086711,0.262,2.3534,0.2214907,0.0405093,0.016473324516446
1,AMMY220,1027,13.7479,107.062,2.0296353520761,0.2639,2.3496,0.2238509,0.0400491,0.015281019442792
1,AMMY220,1027.5,11.6956,101.188,2.00512901208094,0.2743,2.3456,0.2263355,0.0479645,0.015718297279034
1,AMMY220,1028,12.3751,116.938,2.0679556617914,0.2877,2.3143,0.2457764,0.0419236,0.014621508243319
1,AMMY220,1028.5,13.2714,120.625,2.08143732635185,0.2847,2.332,0.2347826,0.0499174,0.014396315014974
1,AMMY220,1029,14.0016,105.75,2.02428037604708,0.2798,2.3421,0.2285094,0.0512906,0.015375520133815
1,AMMY220,1029.5,12.6658,118.312,2.07302879593376,0.256,2.3538,0.2212422,0.0347578,0.01453635787199
1,AMMY220,1030,11.7897,94.625,1.97600589250813,0.2476,2.3423,0.2283851,0.0192149,0.016254254600023
1,AMMY220,1030.5,11.3266,101.312,2.00566088884624,0.2412,2.3424,0.2283229,0.0128771,0.015708675192734
1,AMMY220,1031,14.4667,92.75,1.96731391828708,0.2308,2.3718,0.2100621,0.0207379,0.016417727582578
1,AMMY220,1031.5,18.0097,105.75,2.02428037604708,0.2229,2.405,0.189441,0.033459,0.015375520133815
1,AMMY220,1032,19.7772,127.5,2.10551018476997,0.2051,2.4362,0.1700622,0.0350378,0.01400280084028
1,AMMY220,1032.5,19.4902,109.938,2.04114783198514,0.1804,2.4707,0.1486335,0.0317665,0.015079817594665
2,AMMY220,1033,18.1618,140.25,2.1469028699282,0.1631,2.5155,0.1208074,0.0422926,0.013351146745864
4,AMMY220,1033.5,17.7173,124.562,2.09538557276166,0.1631,2.5311,0.111118,0.051982,0.014166977950074
2,AMMY220,1034,16.1897,143.125,2.15571549968396,0.1542,2.5136,0.1219875,0.0322125,0.013216372009102
2,AMMY220,1034.5,14.8914,161.375,2.20783625527448,0.1542,2.5155,0.1208074,0.0333926,0.012446632785595
2,AMMY220,1035,14.7247,158.625,2.20037163510276,0.1636,2.4823,0.1414285,0.0221715,0.012554059619245
1,AMMY220,1035.5,14.9869,193.625,2.28696143076726,0.1933,2.4512,0.1607453,0.0325547,0.011362902728827
1,AMMY220,1036,16.7718,147.625,2.16915991062157,0.2249,2.3811,0.2042858,0.0206143,0.013013378122566
1,AMMY220,1036.5,16.7287,176.625,2.24705217485661,0.2422,2.3831,0.2030435,0.0391565,0.011897176837471
1,AMMY220,1037,18.0058,142.75,2.15457611691789,0.2422,2.3559,0.2199379,0.0222621,0.013233720131217
1,AMMY220,1037.5,18.8914,129.375,2.11185036280099,0.2467,2.3851,0.2018013,0.0448987,0.013900960937138
1,AMMY220,1038,18.6847,145.375,2.1624897277365,0.2472,2.3714,0.2103105,0.0368895,0.013113696868992
1,AMMY220,1038.5,18.0447,127,2.10380372095596,0.2447,2.3945,0.1959627,0.0487373,0.014030338331658
1,AMMY220,1039,14.2324,175,2.24303804868629,0.2492,2.3848,0.2019876,0.0472124,0.011952286093344
1,AMMY220,1039.5,12.6574,163.375,2.2131856005886,0.2635,2.3865,0.2009318,0.0625682,0.012370213749863
1,AMMY220,1040,11.0691,258.75,2.41288035846497,0.2709,2.3726,0.2095652,0.0613348,0.00982946374366
1,AMMY220,1040.5,11.0642,273.5,2.43695733066945,0.2595,2.3902,0.1986336,0.0608664,0.00956073628153
1,AMMY220,1041,11.4925,333.75,2.52342127437263,0.2457,2.3941,0.1962112,0.0494888,0.008654846448158
1,AMMY220,1041.5,10.7866,1189,3.07518185461869,0.2304,2.4371,0.1695032,0.0608968,0.004585419536933
1,AMMY220,1042,10.0807,474.5,2.67623621676331,0.2239,2.4391,0.1682609,0.0556391,0.007258583814244
1,AMMY220,1042.5,10.0965,1988,3.29841638006129,0.222,2.4527,0.1598137,0.0621863,0.003546188477267
2,AMMY220,1043,10.5486,2000,3.30102999566398,0.2106,2.4742,0.1464596,0.0641404,0.003535533905933
2,AMMY220,1043.5,11.0087,2000,3.30102999566398,0.2032,2.5152,0.1209939,0.0822061,0.003535533905933
2,AMMY220,1044,10.6129,2000,3.30102999566398,0.1908,2.5233,0.1159628,0.0748372,0.003535533905933
2,AMMY220,1044.5,11.3301,2000,3.30102999566398,0.1913,2.5316,0.1108075,0.0804925,0.003535533905933
2,AMMY220,1045,10.4555,2000,3.30102999566398,0.2012,2.5101,0.1241616,0.0770384,0.003535533905933
2,AMMY220,1045.5,10.8689,2000,3.30102999566398,0.2037,2.5316,0.1108075,0.0928925,0.003535533905933
